"","baker","age","occupation","hometown","season"
"1","Ben Frazer",31,"Graphic Designer","Northampton","2"
"2","Holly Bell",31,"Advertising executive","Leicester","2"
"3","Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire","2"
"4","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool","2"
"5","Jason White",19,"Civil Engineering Student","Croydon","2"
"6","Joanne ""Jo"" Wheatley",41,"Housewife","Ongar, Essex","2"
"7","Keith Batsford",31,"House husband","Arlesey, Bedfordshire","2"
"8","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire","2"
"9","Robert Billington",25,"Photographer","London","2"
"10","Simon Blackwell",31,"Rugby Coach","Norfolk","2"
"11","Urvashi Roe",40,"Head of Marketing","Enfield, London","2"
"12","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral","2"
"13","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield","3"
"14","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex","3"
"15","Danny Bryden",45,"Intensive care consultant","Sheffield","3"
"16","James Morton",21,"Medical student","Hillswick, Shetland Islands","3"
"17","John Whaite",22,"Law student","Wigan","3"
"18","Manisha Parmar",27,"Nursery nurse","Leicester","3"
"19","Natasha Stringer",36,"Midwife","Tamworth, Staffordshire","3"
"20","Peter Maloney",43,"Sales manager","Windsor, Berkshire","3"
"21","Ryan Chong",38,"Photographer","Bristol","3"
"22","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex","3"
"23","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire","3"
"24","Victoria Chester",50,"CEO of the charity Plantlife","Somerset","3"
"25","Ali Imdad",25,"Charity worker","Saltley, Birmingham","4"
"26","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","4"
"27","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","4"
"28","Deborah Manger",51,"Dentist","Peterborough","4"
"29","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","4"
"30","Glenn Cosby",37,"English Teacher","Teignmouth, Devon","4"
"31","Howard Middleton",51,"Council Worker","Sheffield","4"
"32","Kimberley Wilson",30,"Psychologist","London","4"
"33","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire","4"
"34","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes","4"
"35","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire","4"
"36","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","4"
"37","Toby Waterworth",30,"Web Programmer","Reading, Berkshire","4"
"38","Chetna Makan",35,"Fashion Designer","Broadstairs, Kent","5"
